id(時間割コード),classId(何かに使うかもしれない通し番号),name,teacher,credit,style,url,termperiod
12A11,20210059,健康教育,井上　則子,1,オンライン,Coming Soon…,T1Mon2
12A12,20210060,現代文化論(1),Sookyeong Hong,1,オンライン,Coming Soon…,T1Mon2
12A13,20210061,世界の健康科学,松山　章子,1,オンライン,Coming Soon…,T1Mon2
12A14,20210062,メディア概論 a,稲葉　利江子,1,オンライン,Coming Soon…,T1Mon2
12A15,20210063,進路指導の理論と方法,前田　基成,1,オンライン,Coming Soon…,T1Mon2
12B01,20210064,情報数学特論 a,永井　敦,2,ハイブリッド,Coming Soon…,T1Mon2/T2Mon2
12B02,20210065,数学特論 XE,吉川　祥,2,オンライン,Coming Soon…,T1Mon2/T2Mon2
12G01,20210066,Oral English I (国・多),Kim Marie Turnberg Sano,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G02,20210067,Oral English I (国・多),Brian Heagney,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G03,20210068,Oral English I (国・多),Paul Michael Garside,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G04,20210069,Oral English I (国・多),Clara Kumagai,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G05,20210070,Oral English I (情),Kristofer Raymond Bayne,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G06,20210071,Oral English I (情),Betsy Longacre Terada,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G07,20210072,Oral English I (情),Carolyn Morikawa,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G08,20210073,Composition I (英),梅垣　代枝野,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G09,20210074,Composition I (英),楠　香織,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G10,20210075,Composition I (英),藤坂　恭子,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G11,20210076,Pronunciation I (国・多),奥野　晶子,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G12,20210077,Pronunciation I (国・多),吉田　真理子,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G13,20210078,MI Composition II,道家　美紀子,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G14,20210079,MI Composition II,北村　文,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G15,20210080,MI Composition II,中尾　真子,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G16,20210081,MI Composition II,高久田　佳津子,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G17,20210082,ドイツ語 I (演習) a (英),松原　良輔,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G18,20210083,スペイン語 I (文法) A (英),青島　郁代,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G19,20210084,スペイン語 I (文法) B (英),浅香　武和,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G20,20210085,４年セミナー,小野　創,3,ハイブリッド,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G21,20210086,４年セミナー,郷路　拓也,3,ハイブリッド,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G22,20210087,アメリカ文化概論,大類　久恵,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G23,20210088,英語史,児馬　修,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G24,20210089,音声学,池頭　純子,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G25,20210090,３年セミナー,Chris Burgess,3,ハイブリッド,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G26,20210091,４年セミナー,柴田　邦臣,3,ハイブリッド,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G27,20210092,４年セミナー,光成　歩,3,ハイブリッド,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G28,20210093,３年セミナー,菊池　弘明,3,ハイブリッド,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G29,20210094,３年セミナー,小西　由紀子,3,ハイブリッド,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G30,20210095,３年セミナー,内藤　由香,3,ハイブリッド,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G31,20210096,３年セミナー,松野　一夫,3,ハイブリッド,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G32,20210097,３年セミナー,執行　洋子,3,ハイブリッド,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G33,20210098,フランス語 III (講読) (1)(3)(4),土屋　良二,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G34,20210099,中国語 III (講読),布川　雅英,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G35,20210100,スペイン語 III (講読),青砥　清一,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12G36,20210101,韓国・朝鮮語 III (演習),張　銀英,3,オンライン,Coming Soon…,T1Mon2/T3Mon2/T4Mon2
12N01,20210102,国語学(3),高橋　雄太,1,オンライン(未確定),Coming Soon…,T3Mon2
12N02,20210103,経済学(3),森　悠子,1,オンライン(未確定),Coming Soon…,T3Mon2
12N03,20210104,経済学研究(3),森　悠子,1,オンライン(未確定),Coming Soon…,T3Mon2
12N04,20210105,科学と人間(3),樋口　喜昭,1,オンライン(未確定),Coming Soon…,T3Mon2
12N05,20210106,Extensive Reading I (国・多),長谷川　志保,1,オンライン(未確定),Coming Soon…,T3Mon2
12N06,20210107,Intensive Reading I a (国・多),川島　るり子,1,オンライン(未確定),Coming Soon…,T3Mon2
12N07,20210108,Intensive Reading I a (国・多),奥坊　光子,1,オンライン(未確定),Coming Soon…,T3Mon2
12N08,20210109,中国語 III (講読) (3),布川　雅英,1,オンライン(未確定),Coming Soon…,T3Mon2
12N09,20210110,スペイン語 III (講読) (3),青砥　清一,1,オンライン(未確定),Coming Soon…,T3Mon2
12N10,20210111,韓国・朝鮮語 III (演習) (3),張　銀英,1,オンライン(未確定),Coming Soon…,T3Mon2
12N11,20210112,日本語指導 Ba (3),作田　奈苗,1,オンライン(未確定),Coming Soon…,T3Mon2
12N12,20210113,健康教育,井上　則子,1,オンライン(未確定),Coming Soon…,T3Mon2
12N13,20210114,余暇教育(レク活動とグループワーク),薄井　澄誉子,0.5,オンライン(未確定),Coming Soon…,T3Mon2
12N14,20210115,現代文化論(3),Sookyeong Hong,1,オンライン(未確定),Coming Soon…,T3Mon2
12N15,20210116,生徒指導の理論と方法,前田　基成,1,オンライン(未確定),Coming Soon…,T3Mon2
12N16,20210117,メディア概論 b,稲葉　利江子,1,オンライン(未確定),Coming Soon…,T3Mon2
12P01,20210118,情報数学特論 d,田口　政義,2,オンライン(未確定),Coming Soon…,T3Mon2/T4Mon2
12P02,20210119,教育方法論,高垣　マユミ,2,オンライン(未確定),Coming Soon…,T3Mon2/T4Mon2
12P03,20210120,英語科指導とICT活用,久島　智津子,2,オンライン(未確定),Coming Soon…,T3Mon2/T4Mon2
12P04,20210121,教育課程論,渡邊　あや,2,オンライン(未確定),Coming Soon…,T3Mon2/T4Mon2
12R01,20210122,国語学(4),高橋　雄太,1,オンライン(未確定),Coming Soon…,T4Mon2
12R02,20210123,経済学(4),森　悠子,1,オンライン(未確定),Coming Soon…,T4Mon2
12R03,20210124,経済学研究(4),森　悠子,1,オンライン(未確定),Coming Soon…,T4Mon2
12R04,20210125,日本語ライティング(4),原田　朱美,1,オンライン(未確定),Coming Soon…,T4Mon2
12R05,20210126,Intensive Reading I b (国・多),川島　るり子,1,オンライン(未確定),Coming Soon…,T4Mon2
12R06,20210127,Intensive Reading I b (国・多),長谷川　志保,1,オンライン(未確定),Coming Soon…,T4Mon2
12R07,20210128,Intensive Reading I b (国・多),奥坊　光子,1,オンライン(未確定),Coming Soon…,T4Mon2
12R08,20210129,中国語 III (講読) (4),布川　雅英,1,オンライン(未確定),Coming Soon…,T4Mon2
12R09,20210130,スペイン語 III (講読) (4),青砥　清一,1,オンライン(未確定),Coming Soon…,T4Mon2
12R10,20210131,韓国・朝鮮語 III (演習) (4),張　銀英,1,オンライン(未確定),Coming Soon…,T4Mon2
12R11,20210132,日本語指導 Ba (4),作田　奈苗,1,オンライン(未確定),Coming Soon…,T4Mon2
12R12,20210133,動きの教育,井上　則子,1,オンライン(未確定),Coming Soon…,T4Mon2
12R13,20210134,現代文化論(4),Sookyeong Hong,1,オンライン(未確定),Coming Soon…,T4Mon2
12R14,20210135,東アジア研究(現代韓国特論),金　貴粉,1,オンライン(未確定),Coming Soon…,T4Mon2
12R15,20210136,離散数学 c,礒島　伸,1,オンライン(未確定),Coming Soon…,T4Mon2
12R16,20210137,進路指導の理論と方法,前田　基成,1,オンライン(未確定),Coming Soon…,T4Mon2
13A01,20210138,日本国憲法a,武田　万里子,1,オンライン,Coming Soon…,T1Mon3
13A02,20210139,社会学(1),柴田　邦臣,1,オンライン,Coming Soon…,T1Mon3
13A03,20210140,社会学研究(1),柴田　邦臣,1,オンライン,Coming Soon…,T1Mon3
13A04,20210141,情報処理I a,原山　智重子,1,オンライン,Coming Soon…,T1Mon3
13A05,20210142,女性学(1),吉朝　加奈,1,オンライン,Coming Soon…,T1Mon3
13A06,20210143,日本語ライティング(1),飯野　朋美,1,オンライン,Coming Soon…,T1Mon3
13A07,20210144,日本語指導 Bb (1),作田　奈苗,1,オンライン,Coming Soon…,T1Mon3
13A08,20210145,健康教育,井上　則子,1,オンライン,Coming Soon…,T1Mon3
13A09,20210146,余暇教育(スポーツと身体スキル),薄井　澄誉子,0.5,ハイブリッド,Coming Soon…,T1Mon3
13A10,20210147,ウェルネス研究(スポーツ・ジェンダー論),山田　ゆかり,1,オンライン,Coming Soon…,T1Mon3
13A11,20210148,ユーラシア研究(1),松嵜　英也,1,オンライン,Coming Soon…,T1Mon3
13A12,20210149,東アジア研究(中国現代史),関　智英,1,オンライン,Coming Soon…,T1Mon3
13A13,20210150,福祉社会学,門下　祐子,1,オンライン,Coming Soon…,T1Mon3
13A14,20210151,数学特別講義 C (1),竹内　敦司,1,オンライン,Coming Soon…,T1Mon3
13A15,20210152,線形代数(演習付)(1),永井　敦・立井　博子,2,オンライン,Coming Soon…,T1Mon3/T1Mon4
13A16,20210153,コンピュータアーキテクチャ,新田　善久,1,オンライン,Coming Soon…,T1Mon3
13A17,20210154,教育コンテンツ制作,久島　智津子,1,オンライン,Coming Soon…,T1Mon3
13A18,20210155,メディアコミュニケーションワークショップ,稲葉　利江子,1,オンライン,Coming Soon…,T1Mon3
13A19,20210156,デジタルエンターテインメントワークショップ,栗原　一貴,1,オンライン,Coming Soon…,T1Mon3
13A20,20210157,西アジア研究(1),今井　真士,1,オンライン,Coming Soon…,T1Mon3
13A21,20210158,東南アジア研究(現代東南アジア特論)(1),光成　歩,1,オンライン,Coming Soon…,T1Mon3
13A22,20210159,現代日本政治経済論(1),堀江　孝司,1,オンライン,Coming Soon…,T1Mon3
13A23,20210160,３年セミナー (1),三澤　健宏,1,ハイブリッド,Coming Soon…,T1Mon3
13A24,20210161,紛争と平和,田村　幸恵,1,オンライン,Coming Soon…,T1Mon3
13A25,20210162,多文化・国際協力の実践(1),松山　章子,1,オンライン,Coming Soon…,T1Mon3
13B01,20210163,数学特論 XG,菊池　弘明,2,オンライン,Coming Soon…,T1Mon3/T2Mon3
13C01,20210164,中・古英語,児馬　修,2,オンライン,Coming Soon…,T1Mon3/T3Mon3
13G01,20210165,Intensive Listening I,Carolyn Morikawa,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G02,20210166,フランス語 I (演習) e (国・多),土屋　良二,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G03,20210167,フランス語 II (講読) C (英),清水　正,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G04,20210168,ドイツ語 II (講読) D (国・多),松原　良輔,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G05,20210169,中国語 II (講読) A (英),布川　雅英,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G06,20210170,ロシア語 I (文法),長井　淳,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G07,20210171,スペイン語 I (文法) G (国・多),浅香　武和,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G08,20210172,スペイン語 II (講読) G (国・多),青砥　清一,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G09,20210173,韓国・朝鮮語 II (演習) a (英),張　銀英,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G10,20210174,基礎セミナー,北村　文,3,ハイブリッド,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G11,20210175,Literary Reading I,Clara Kumagai,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G12,20210176,Literary Reading I,梅垣　代枝野,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G13,20210177,Literary Reading I,道家　美紀子,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G14,20210178,Literary Reading I,長谷川　志保,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G15,20210179,Academic Listening II,Brian Heagney,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G16,20210180,Grammar II (英),川島　るり子,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G17,20210181,Academic Writing & Presentation III,Paul Michael Garside,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G18,20210182,Academic Writing & Presentation III,Terence J. Cooney,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G19,20210183,文法論,佐藤　陽介,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G20,20210184,音声学,池頭　純子,3,オンライン,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G21,20210185,３年セミナー,森　悠子,3,ハイブリッド,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G22,20210186,３年セミナー,小島　敬裕,3,ハイブリッド,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G23,20210187,４年セミナー,Chris Burgess,3,ハイブリッド,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G24,20210188,２年セミナー,原　隆,3,ハイブリッド,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G25,20210189,２年セミナー,礒田　恵以子,3,ハイブリッド,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G26,20210190,２年セミナー,久野　雄介,3,ハイブリッド,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G27,20210191,２年セミナー,宮澤　治子,3,ハイブリッド,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G28,20210192,２年セミナー,中屋敷　厚,3,ハイブリッド,Coming Soon…,T1Mon3/T3Mon3/T4Mon3
13G29,20210193,４年セミナー,井上　歩,6,ハイブリッド,Coming Soon…,T1Mon3/T3Mon3/T4Mon3/T1Thu3/T3Thu3/T4Thu3
13G30,20210194,４年セミナー,松野　一夫,6,ハイブリッド,Coming Soon…,T1Mon3/T3Mon3/T4Mon3/T1Mon4/T3Mon4/T4Mon4
13G31,20210195,４年セミナー,三上　敏夫,6,ハイブリッド,Coming Soon…,T1Mon3/T3Mon3/T4Mon3/T1Mon4/T3Mon4/T4Mon4
13N01,20210196,日本国憲法b,武田　万里子,1,オンライン(未確定),Coming Soon…,T3Mon3
13N02,20210197,社会学(3),柴田　邦臣,1,オンライン(未確定),Coming Soon…,T3Mon3
13N03,20210198,社会学研究(3),柴田　邦臣,1,オンライン(未確定),Coming Soon…,T3Mon3
13N04,20210199,情報処理I a,原山　智重子,1,オンライン(未確定),Coming Soon…,T3Mon3
13N05,20210200,女性学(3),大橋　稔,1,オンライン(未確定),Coming Soon…,T3Mon3
13N06,20210201,日本語ライティング(3),飯野　朋美,1,オンライン(未確定),Coming Soon…,T3Mon3
13N07,20210202,日本語指導 Bb (3),作田　奈苗,1,オンライン(未確定),Coming Soon…,T3Mon3
13N08,20210203,動きの教育,井上　則子,1,オンライン(未確定),Coming Soon…,T3Mon3
13N09,20210204,余暇教育(レク活動とグループワーク),宇津木　安来,0.5,オンライン(未確定),Coming Soon…,T3Mon3
13N10,20210205,ユーラシア研究(3),松嵜　英也,1,オンライン(未確定),Coming Soon…,T3Mon3
13N11,20210206,東アジア研究(中国・香港・台湾特論),関　智英,1,オンライン(未確定),Coming Soon…,T3Mon3
13N12,20210207,数学特別講義 C (3),竹内　敦司,1,オンライン(未確定),Coming Soon…,T3Mon3
13N13,20210208,線形代数(演習付)(3),永井　敦・立井　博子,2,オンライン(未確定),Coming Soon…,T3Mon3/T3Mon4
13N14,20210209,教育メディアワークショップ,来住　伸子,1,オンライン(未確定),Coming Soon…,T3Mon3
13N15,20210210,西アジア研究(3),今井　真士,1,オンライン(未確定),Coming Soon…,T3Mon3
13N16,20210211,東南アジア研究(現代東南アジア特論)(3),光成　歩,1,オンライン(未確定),Coming Soon…,T3Mon3
13N17,20210212,現代日本政治経済論(3),堀江　孝司,1,オンライン(未確定),Coming Soon…,T3Mon3
13N18,20210213,３年セミナー (3),三澤　健宏,1,オンライン(未確定),Coming Soon…,T3Mon3
13N19,20210214,災害と復興,松本　早野香,1,オンライン(未確定),Coming Soon…,T3Mon3
13N20,20210215,多文化・国際協力の実践(3),川端　浩平,1,オンライン(未確定),Coming Soon…,T3Mon3
13R01,20210216,法女性学,武田　万里子,1,オンライン(未確定),Coming Soon…,T4Mon3
13R02,20210217,社会学(4),渡部　春佳,1,オンライン(未確定),Coming Soon…,T4Mon3
13R03,20210218,社会学研究(4),渡部　春佳,1,オンライン(未確定),Coming Soon…,T4Mon3
13R04,20210219,情報処理I b,原山　智重子,1,オンライン(未確定),Coming Soon…,T4Mon3
13R05,20210220,女性学(4),大橋　稔,1,オンライン(未確定),Coming Soon…,T4Mon3
13R06,20210221,日本語指導 Bb (4),作田　奈苗,1,オンライン(未確定),Coming Soon…,T4Mon3
13R07,20210222,動きの教育,井上　則子,1,オンライン(未確定),Coming Soon…,T4Mon3
13R08,20210223,英語学特殊講義 a,児馬　修,1,オンライン(未確定),Coming Soon…,T4Mon3
13R09,20210224,ユーラシア研究(4),松嵜　英也,1,オンライン(未確定),Coming Soon…,T4Mon3
13R10,20210225,東アジア研究(中国の国際政治),関　智英,1,オンライン(未確定),Coming Soon…,T4Mon3
